城市,维度,经度,开始时间,休息时间,hasArtwork,门店名,门店号,邮编
苏州市,31.838402000000002,120.54385,7:30:00,22:00:00,False,苏州张家港吾悦广场店,26339-242166,215000.0
苏州市,31.863056,120.541505,8:30:00,21:00:00,False,苏州张家港凯丽百货店,29422-253544,215000.0
苏州市,31.381422999999998,120.920677,8:00:00,21:30:00,False,苏州昆山后街商业广场店,52803-283165,215000.0
上海市,31.365965000000003,121.433422,7:00:00,22:00:00,False,北上海生活广场店,28084-249525,200000.0
上海市,31.330928999999998,121.254393,7:00:00,22:00:00,False,嘉定中信泰富万达广场店,56400-290298,200000.0
上海市,31.366256,121.443124,7:00:00,22:00:00,False,北翼生活广场店,49685-270794,200000.0
苏州市,31.383203,120.90741399999999,6:30:00,22:30:00,False,昆山文化艺术中心店,18716-194367,215000.0
上海市,31.32987,121.278399,7:00:00,22:00:00,False,嘉定大融城店,28925-251369,200000.0
上海市,31.345188,121.372055,7:00:00,22:00:00,False,顾村公园店,22376-220124,200000.0
苏州市,31.362971,120.95374299999999,7:30:00,22:00:00,False,苏州昆山昆城广场店,48041-258225,215000.0
上海市,31.382192,121.495496,7:00:00,22:00:00,False,诺亚新天地店,21834-215466,200000.0
苏州市,31.354667,120.974484,8:00:00,21:00:00,False,苏州昆山弥敦城店,49597-270148,215000.0
苏州市,31.840576000000002,120.52834399999999,8:00:00,22:00:00,False,苏州张家港暨阳湖商业街,49592-270146,215000.0
苏州市,31.34907,120.97161100000001,6:30:00,19:30:00,False,昆山现代广场店,32623-134944,215000.0
苏州市,31.351065000000002,120.960945,6:30:00,21:00:00,False,昆山吉田国际店,32413-133605,215000.0
苏州市,31.8683,120.51715300000001,7:30:00,22:00:00,False,张家港购物公园店,20071-197505,215000.0
苏州市,31.352990999999996,120.952786,6:30:00,20:00:00,False,苏州昆山南站店,49455-269525,215000.0
无锡市,31.699942,120.545801,8:00:00,21:30:00,False,无锡东港红豆万花城店,60357-294595,214000.0
上海市,31.31134,121.31781000000001,7:00:00,22:00:00,False,南翔五彩城店,23914-201987,200000.0
上海市,31.320441,121.38140600000001,7:00:00,20:00:00,False,朗香嘉年华店,29878-255444,200000.0
上海市,31.326313,121.406049,7:00:00,22:00:00,False,纬地路店,54091-286343,200000.0
苏州市,31.3329,120.96651000000001,8:00:00,22:00:00,False,苏州昆山吾悦广场店,55887-289748,215000.0
上海市,31.335224,121.43807,7:00:00,22:00:00,False,场北路店,28961-251887,200000.0
上海市,31.337622999999997,121.445651,7:00:00,22:00:00,False,红太阳商业广场店,23765-231966,200000.0
上海市,31.331406,121.44016200000002,7:00:00,22:00:00,False,长江西路店,25481-231965,200000.0
上海市,31.315174,121.385296,7:00:00,22:00:00,False,聚丰园路店,21838-215904,200000.0
上海市,31.327108000000003,121.44433500000001,7:00:00,22:00:00,False,共江路家乐福店,49022-266505,200000.0
上海市,31.299465,121.326118,7:00:00,22:00:00,False,南翔太茂店,28823-251368,200000.0
上海市,31.288383000000003,121.186998,7:00:00,19:00:00,False,大众汽车总部店,26758-245105,200000.0
上海市,31.296909000000003,121.321304,7:00:00,22:00:00,False,南翔祥腾广场店,18087-183585,200000.0
苏州市,31.289051,121.147075,7:30:00,21:00:00,False,昆山花桥商务城店,16657-174184,215000.0
上海市,31.286914000000003,121.216609,7:00:00,22:00:00,False,嘉实生活广场店,19327-200245,200000.0
上海市,31.324156,121.44791399999998,7:00:00,22:00:00,False,宝山万达店,16490-170368,200000.0
上海市,31.322003999999996,121.445102,7:00:00,22:00:00,False,共康路店,18883-196405,200000.0
苏州市,31.286786,121.12676,7:30:00,22:00:00,False,苏州昆山花桥游站店,49596-270147,215000.0
上海市,31.318528999999998,121.44603799999999,7:00:00,22:00:00,False,宏慧新汇园店,49020-266506,200000.0
上海市,31.338108000000002,121.5016,7:00:00,19:00:00,False,湾谷科技园店,24745-238148,200000.0
上海市,31.334028000000004,121.491802,7:00:00,20:00:00,False,宝山同济创园店,52472-281830,200000.0
上海市,31.280334000000003,121.210843,7:00:00,21:00:00,False,嘉定同济科技园店,54899-288641,200000.0
上海市,31.288597999999997,121.320972,7:00:00,22:00:00,False,中暨大厦店,24122-235273,200000.0
上海市,31.277881,121.193894,7:30:00,19:00:00,False,嘉定汽车城创新港店,52149-280505,200000.0
上海市,31.320573,121.47096699999999,7:00:00,22:00:00,False,殷高西路店,23430-230104,200000.0
上海市,31.335449,121.516608,7:00:00,21:00:00,False,新江湾城生活广场店,50503-275125,200000.0
上海市,31.330351,121.50914499999999,7:00:00,22:00:00,False,悠方店,29663-254768,200000.0
上海市,31.320065000000003,121.48510800000001,7:00:00,22:00:00,False,殷高西路地铁站店,49235-267787,200000.0
上海市,31.269372999999998,121.17183700000001,8:00:00,20:00:00,False,嘉定万科安亭新镇店,50013-272391,200000.0
上海市,31.281972999999997,121.350104,7:00:00,22:00:00,False,白丽广场店,28709-250787,200000.0
上海市,31.281428000000002,121.34816200000002,7:00:00,22:00:00,False,新邻天地广场店,50725-276044,200000.0
上海市,31.304959999999998,121.45249199999999,7:00:00,22:00:00,False,中建幸福空间,57706-291560,200000.0
苏州市,31.430728000000002,120.701454,8:30:00,21:30:00,False,苏州太平邻里商业广场店,51449-278392,215000.0
上海市,31.320320000000002,121.505648,7:00:00,21:00:00,False,星汇广场店,25900-242804,200000.0
上海市,31.298726000000002,121.443997,7:00:00,19:00:00,False,江场二路店,25792-242309,200000.0
上海市,31.293921,121.43682199999999,7:00:00,20:00:00,False,市北高新园区店,18486-191346,200000.0
上海市,31.347002000000003,121.57383899999999,7:00:00,22:00:00,False,高桥红坊店,29029-252006,200000.0
上海市,31.298410999999998,121.457224,7:00:00,22:00:00,False,协信星光广场北区店,27097-243588,200000.0
上海市,31.316882,121.510203,7:00:00,21:00:00,False,尚浦中心店,25727-242155,200000.0
苏州市,31.378646999999997,120.761909,9:00:00,20:00:00,False,苏州village店,22676-223006,215000.0
上海市,31.268813,121.33684699999999,7:00:00,22:00:00,False,嘉定Max未来店,28001-249227,200000.0
上海市,31.321823,121.52591100000001,7:00:00,22:00:00,False,绿源天地广场店,51347-278066,200000.0
上海市,31.349703,121.587647,7:00:00,19:00:00,False,汤臣国贸大厦店,16175-169214,200000.0
上海市,31.296034999999996,121.458423,8:00:00,22:00:00,False,协信星光广场南区店,27098-243589,200000.0
上海市,31.311072999999997,121.505379,7:00:00,20:00:00,False,君庭广场店,27279-247005,200000.0
苏州市,31.340264,120.82278799999999,8:30:00,19:30:00,False,苏州时尚舞台店,21671-214010,215000.0
上海市,31.318302000000003,121.526192,7:00:00,22:00:00,False,国和路店,53794-286017,200000.0
上海市,31.316176000000002,121.52180200000001,7:00:00,22:00:00,False,中原城市广场店,24827-238907,200000.0
上海市,31.311715999999997,121.51103400000001,7:00:00,22:00:00,False,上海国华广场店,58975-293218,200000.0
上海市,31.300865,121.48718799999999,7:00:00,21:00:00,False,三湘世纪花城店,49556-269925,200000.0
上海市,31.264021999999997,121.34762099999999,7:00:00,22:00:00,False,嘉定嘉尚坊店,56398-290299,200000.0
上海市,31.276582,121.408198,7:00:00,22:00:00,False,武威东路店,27206-246771,200000.0
上海市,31.294901,121.475457,7:00:00,22:00:00,False,凉城世纪联华店,48607-264064,200434.0
